method,split,independent_units,events_per_unit_mean,post_change_success_mean,post_change_success_95ci,recovery_rate_mean,recovery_rate_95ci,finite_post_cost_rate_mean,finite_post_cost_rate_95ci,recovery_steps_mean,recovery_steps_95ci,optimal_cost_shock_mean,optimal_cost_shock_95ci,extra_optimal_cost_mean,extra_optimal_cost_95ci,reaction_time_ms_mean,reaction_time_ms_95ci,node_expansions_mean,node_expansions_95ci
astar,all_dynamic,83,2.253012048192771,1.0,0.0,1.0,0.0,1.0,0.0,0.0024096385542168677,0.004793538691895354,-1.9261700668195487e-17,1.9562257372221695e-17,2.140188963132832e-18,4.257517620139021e-18,0.0670549319926637,0.007046279787472733,6.02429718875502,0.6635647505887105
astar,changed_toggle_periods,24,2.4166666666666665,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-5.551115123125783e-17,5.4718301194373574e-17,0.0,0.0,0.07789953678588467,0.01583801953576204,5.267361111111111,1.0483382752493022
astar,moving_obstacles_period_2,10,4.1,1.0,0.0,1.0,0.0,1.0,0.0,0.02,0.045243143255964104,1.7763568394002505e-17,4.0183983479348576e-17,1.7763568394002505e-17,4.0183983479348576e-17,0.09453402795907095,0.02781299252932562,9.985,3.198197887598239
astar,moving_obstacles_period_4,10,1.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-4.4408920985006264e-17,1.0045995869837142e-16,0.0,0.0,0.05276353003409895,0.015200715836018518,5.15,1.6865338726897547
astar,new_dynamic_obstacle_locations,21,1.1428571428571428,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05741719288120554,0.011305181164168633,5.666666666666667,1.192082578641928
astar,stochastic_obstacles_p05,8,1.375,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050012902151289985,0.012945383723967011,5.166666666666667,1.467059527428081
astar,stochastic_obstacles_p20,10,3.9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061713062488252035,0.015769928742481815,6.191666666666666,1.50339769311398
dijkstra,all_dynamic,83,2.2650602409638556,1.0,0.0,1.0,0.0,1.0,0.0,0.002008032128514056,0.003994615576579461,0.0011762779872025975,0.002339991628293425,0.0011762779872026188,0.0023399916282934247,0.4416603832883759,0.061703784397103924,55.698393574297185,7.945167069164977
dijkstra,changed_toggle_periods,24,2.4166666666666665,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-4.3175339846533866e-17,5.040918155161712e-17,0.0,0.0,0.4807033965094989,0.1297440120607886,43.97569444444444,10.570983890051538
dijkstra,moving_obstacles_period_2,10,4.2,1.0,0.0,1.0,0.0,1.0,0.0,0.016666666666666666,0.037702619379970076,0.009763107293781737,0.022085683095795755,0.009763107293781737,0.022085683095795755,0.5995227518684866,0.17964043613815148,86.225,25.743845742884822
dijkstra,moving_obstacles_period_4,10,1.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-4.4408920985006264e-17,1.0045995869837142e-16,0.0,0.0,0.4173703450078392,0.1716733356142628,59.6,25.107113820525555
dijkstra,new_dynamic_obstacle_locations,21,1.1428571428571428,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3513525714121594,0.11278257759366911,48.642857142857146,15.751991008534809
dijkstra,stochastic_obstacles_p05,8,1.375,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-3.700743415417188e-17,8.750867629017791e-17,0.0,0.0,0.3143790667005912,0.15729092726732913,44.875,22.166100221185495
dijkstra,stochastic_obstacles_p20,10,3.9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5058562794683894,0.2591770204438923,72.88,37.57700820673381
dstar_lite,all_dynamic,83,2.253012048192771,1.0,0.0,1.0,0.0,1.0,0.0,0.00642570281124498,0.009266701788254828,0.005323226504393187,0.007676787118324323,0.005323226504393187,0.007676787118324323,0.1679038957229067,0.018027293070824544,0.12670682730923694,0.15116397807320325
dstar_lite,changed_toggle_periods,24,2.4166666666666665,1.0,0.0,1.0,0.0,1.0,0.0,0.013888888888888888,0.02873135570026457,0.011505932288141526,0.023801834392830228,0.011505932288141526,0.023801834392830228,0.14796606320715,0.027094407742112393,0.2048611111111111,0.3729757393368473
dstar_lite,moving_obstacles_period_2,10,4.1,1.0,0.0,1.0,0.0,1.0,0.0,0.02,0.045243143255964104,0.016568542494923795,0.0374806470820183,0.016568542494923795,0.0374806470820183,0.273035994485781,0.08910163155415346,0.5599999999999999,1.0268410656067166
dstar_lite,moving_obstacles_period_4,10,1.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21515703002023656,0.01856918216372275,0.0,0.0
dstar_lite,new_dynamic_obstacle_locations,21,1.1428571428571428,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19173261666981575,0.01588638605108015,0.0,0.0
dstar_lite,stochastic_obstacles_p05,8,1.375,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07511120831130332,0.00909001684984722,0.0,0.0
dstar_lite,stochastic_obstacles_p20,10,3.9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08756329664129225,0.01782800711820484,0.0,0.0
rl_dqn,all_dynamic,5,4294.2,0.3989076441947381,0.678073128638818,0.9990872282266743,0.0023423475486423653,1.0,0.0,0.023050832978976647,0.022438948872096943,0.0027524174987468937,0.004800687894419133,0.005286539534949107,0.0054254123250880954,0.5724839919433318,0.09007343906634196,nan,nan
rl_dqn,changed_toggle_periods,5,1608.0,0.4,0.6800873806582556,0.9999242424242424,0.00021033675039376588,1.0,0.0,0.017015120585754624,0.025382438050189325,0.0037500271352440633,0.00962040643443612,0.004743413375562863,0.008172115273729767,0.56002309206865,0.12009455204024133,nan,nan
rl_dqn,moving_obstacles_period_2,5,688.8,0.4,0.6800873806582556,0.9948214285714285,0.014378019294774298,1.0,0.0,0.014363692418711752,0.02580359853547292,0.0028291928029904097,0.00749733747816573,0.010871383561138967,0.01863105432548182,0.6454346569145761,0.056861393793925165,nan,nan
