run_id,scenario_id,split,grid_size,planner,repetition,event_index,change_step,change_reason,planning_time_ms,reaction_time_ms,node_expansions,pre_change_optimal_cost,post_change_optimal_cost,optimal_cost_delta,extra_optimal_cost,recovery_steps,post_change_success
OOD-DYNLOC-002:astar:r01,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.09124200005317107,0.09124200005317107,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r02,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.09015799969347427,0.09015799969347427,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r03,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.09544499971525511,0.09544499971525511,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r04,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.08861500009516021,0.08861500009516021,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r05,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.08954599979915656,0.08954599979915656,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r06,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,6,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.08888200045475969,0.08888200045475969,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r07,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,7,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.12497900024754927,0.12497900024754927,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r08,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,8,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.08878200060280506,0.08878200060280506,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r09,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,9,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.09501299973635469,0.09501299973635469,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:astar:r10,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,astar,10,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.0890970004547853,0.0890970004547853,10,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r01,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.597922999986622,0.597922999986622,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r02,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.6072329997550696,0.6072329997550696,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r03,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.6025430002409848,0.6025430002409848,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r04,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.5868480002391152,0.5868480002391152,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r05,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.6425970004784176,0.6425970004784176,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r06,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,6,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.6146400000943686,0.6146400000943686,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r07,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,7,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.5993140002829023,0.5993140002829023,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r08,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,8,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",1.8560969992904575,1.8560969992904575,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r09,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,9,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.6047799997759284,0.6047799997759284,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dijkstra:r10,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dijkstra,10,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.6057720001990674,0.6057720001990674,86,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r01,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.16813500042189844,0.16813500042189844,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r02,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.17047500023181783,0.17047500023181783,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r03,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.15015400003903778,0.15015400003903778,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r04,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.16047699955379358,0.16047699955379358,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r05,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.16674500056979014,0.16674500056979014,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r06,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,6,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.14934099999663886,0.14934099999663886,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r07,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,7,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.15761999929964077,0.15761999929964077,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r08,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,8,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.1477959995099809,0.1477959995099809,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r09,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,9,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.15582200012431713,0.15582200012431713,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-002:dstar_lite:r10,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,dstar_lite,10,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.1574159996380331,0.1574159996380331,0,5.414213562373095,5.414213562373095,0.0,0.0,0,True
OOD-DYNLOC-003:astar:r01,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,astar,1,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.021500999537238386,0.021500999537238386,2,1.4142135623730951,1.4142135623730951,0.0,0.0,0,True
OOD-DYNLOC-003:astar:r02,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,astar,2,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.01983499987545656,0.01983499987545656,2,1.4142135623730951,1.4142135623730951,0.0,0.0,0,True
OOD-DYNLOC-003:astar:r03,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,astar,3,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.019813000108115375,0.019813000108115375,2,1.4142135623730951,1.4142135623730951,0.0,0.0,0,True
OOD-DYNLOC-003:astar:r04,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,astar,4,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.01946399970620405,0.01946399970620405,2,1.4142135623730951,1.4142135623730951,0.0,0.0,0,True
OOD-DYNLOC-003:astar:r05,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,astar,5,1,5,"dynamic_change:[(9, 1), (9, 3), (10, 2)]",0.02250200031994609,0.02250200031994609,2,1.4142135623730951,1.4142135623730951,0.0,0.0,0,True
