run_id,manifest_sha256,benchmark_id,scenario_id,planner,repetition,start,goal,success,timed_out,initial_path_cost,route_path_cost,adaptability_extra_cost,steps_taken,replans,node_expansions,route_compute_time_ms,median_decision_latency_ms,replan_events_json
week3-dynamic-v1:W3D-001:astar:r01,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,1,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,0.707100029,0.149500003,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.0004891000280622393,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.000149500003317371,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":6.849999772384763e-05,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r02,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,2,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,1.432300021,0.377500022,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.0008794000023044646,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.00037750002229586244,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.0001753999968059361,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r03,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,3,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,1.613299974,0.246499985,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.0012814000074286014,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.00024649998522363603,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":8.53999808896333e-05,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r04,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,4,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,0.697600044,0.137700001,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.0004928000271320343,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.00013770000077784061,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":6.710001616738737e-05,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r05,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,5,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,0.666300009,0.135900016,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.00046660000225529075,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.000135900016175583,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":6.379999103955925e-05,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r06,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,6,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,0.661400001,0.135299983,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.0004619999963324517,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.00013529998250305653,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":6.410002242773771e-05,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r07,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,7,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,0.661100028,0.135200011,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.00046150002162903547,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.00013520001084543765,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":6.439999560825527e-05,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r08,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,8,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,0.662700011,0.135800015,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.00046239999937824905,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.00013580001541413367,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":6.44999963697046e-05,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r09,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,9,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,0.660499994,0.135000009,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.00046109998947940767,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.00013500000932253897,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":6.439999560825527e-05,""found"":true,""node_expansions"":5}]"
week3-dynamic-v1:W3D-001:astar:r10,d60264a1ed0cc3674c7cbbb772f1d110adcdfa0448a932b167bb47d75888475e,week3-dynamic-v1,W3D-001,astar,10,"11,0","1,13",True,False,17.142135624,17.142135624,0.000000000,13,3,59,0.658400008,0.133800000,"[{""step"":0,""reason"":""initial_plan"",""duration"":0.000461199990240857,""found"":true,""node_expansions"":44},{""step"":5,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":0.00013380000018514693,""found"":true,""node_expansions"":10},{""step"":10,""reason"":""dynamic_change:[(4, 4), (8, 8), (12, 11)]"",""duration"":6.340001709759235e-05,""found"":true,""node_expansions"":5}]"
