run_id,manifest_sha256,variant,policy_seed,scenario_id,split,grid_size,repetition,success,timed_out,crashed,steps_taken,route_path_cost,initial_optimal_cost,path_cost_gap,route_compute_time_ms,mean_decision_latency_ms,dynamic_event_count
dqn:seed011:ID-PAIR-001:r01,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,1,False,True,False,225,NA,7.65685424949238,NA,79.4259959984629,0.3530044266598351,0
dqn:seed011:ID-PAIR-001:r02,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,2,False,True,False,225,NA,7.65685424949238,NA,78.02878498478094,0.3467945999323597,0
dqn:seed011:ID-PAIR-001:r03,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,3,False,True,False,225,NA,7.65685424949238,NA,78.92036399061908,0.35075717329164036,0
dqn:seed011:ID-PAIR-001:r04,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,4,False,True,False,225,NA,7.65685424949238,NA,76.87582700054918,0.341670342224663,0
dqn:seed011:ID-PAIR-001:r05,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,5,False,True,False,225,NA,7.65685424949238,NA,85.92465597030241,0.3818873598680107,0
dqn:seed011:ID-PAIR-001:r06,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,6,False,True,False,225,NA,7.65685424949238,NA,79.76717101155373,0.3545207600513499,0
dqn:seed011:ID-PAIR-001:r07,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,7,False,True,False,225,NA,7.65685424949238,NA,76.599884981988,0.34044393325328,0
dqn:seed011:ID-PAIR-001:r08,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,8,False,True,False,225,NA,7.65685424949238,NA,77.97570799084497,0.3465587021815332,0
dqn:seed011:ID-PAIR-001:r09,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,9,False,True,False,225,NA,7.65685424949238,NA,76.97932400515128,0.34213032891178347,0
dqn:seed011:ID-PAIR-001:r10,2e130a16ba1c423147001c24eea3984a2dace2eb31695969297f0585be6091ec,dqn,11,ID-PAIR-001,seen_layout_unseen_pairs,15,10,False,True,False,225,NA,7.65685424949238,NA,77.4752550150879,0.344334466733724,0
