run_id,variant,policy_seed,scenario_id,split,grid_size,repetition,event_index,change_step,changed_cells_json,pre_change_optimal_cost,post_change_optimal_cost,optimal_cost_delta,extra_optimal_cost,recovery_steps,reaction_time_ms,post_change_success,route_steps
full:seed011:OOD-DYNLOC-002:r01,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,1,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.42354299966973485,True,10
full:seed011:OOD-DYNLOC-002:r02,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,2,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.45006100026512286,True,10
full:seed011:OOD-DYNLOC-002:r03,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,3,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.4589849995682016,True,10
full:seed011:OOD-DYNLOC-002:r04,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,4,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.4347459998825798,True,10
full:seed011:OOD-DYNLOC-002:r05,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,5,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.8345149999513524,True,10
full:seed011:OOD-DYNLOC-002:r06,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,6,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.4261490003045765,True,10
full:seed011:OOD-DYNLOC-002:r07,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,7,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.48054599938041065,True,10
full:seed011:OOD-DYNLOC-002:r08,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,8,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.46393399952648906,True,10
full:seed011:OOD-DYNLOC-002:r09,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,9,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.43466599981911713,True,10
full:seed011:OOD-DYNLOC-002:r10,full,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,10,1,5,"[[9, 1], [9, 3], [10, 2]]",5.0,5.0,0.0,0.0,0,0.8706189992153668,True,10
full:seed011:OOD-DYNLOC-003:r01,full,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,1,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.5545080002775649,True,6
full:seed011:OOD-DYNLOC-003:r02,full,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,2,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.5086069995741127,True,6
full:seed011:OOD-DYNLOC-003:r03,full,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,3,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.5917230000704876,True,6
