run_id,variant,policy_seed,scenario_id,split,grid_size,repetition,event_index,change_step,changed_cells_json,pre_change_optimal_cost,post_change_optimal_cost,optimal_cost_delta,extra_optimal_cost,recovery_steps,reaction_time_ms,post_change_success,route_steps
no_curriculum:seed011:OOD-DYNLOC-002:r01,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,1,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.4087710003659595,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r02,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,2,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.4038699989905581,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r03,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,3,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.43569599802140146,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r04,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,4,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.5828040011692792,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r05,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,5,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.5358689995773602,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r06,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,6,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.5489310024131555,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r07,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,7,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.4527749988483265,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r08,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,8,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.5971379978291225,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r09,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,9,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.5463380002765916,True,10
no_curriculum:seed011:OOD-DYNLOC-002:r10,no_curriculum,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,10,1,5,"[[9, 1], [9, 3], [10, 2]]",5.414213562373095,5.414213562373095,0.0,0.0,0,0.42772500091814436,True,10
no_curriculum:seed011:OOD-DYNLOC-003:r01,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,1,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.3591130007407628,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r02,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,2,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.3587419996620156,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r03,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,3,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.3585980011848733,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r04,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,4,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.33587600046303123,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r05,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,5,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.34175000109826215,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r06,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,6,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.3529210007400252,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r07,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,7,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.33485299718449824,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r08,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,8,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.347324999893317,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r09,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,9,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.3577429997676518,True,6
no_curriculum:seed011:OOD-DYNLOC-003:r10,no_curriculum,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,10,1,5,"[[9, 1], [9, 3], [10, 2]]",1.4142135623730951,1.4142135623730951,0.0,0.0,0,0.3606489990488626,True,6
no_curriculum:seed011:OOD-DYNLOC-004:r01,no_curriculum,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,1,1,5,"[[9, 1], [9, 3], [10, 2]]",4.414213562373095,4.414213562373095,0.0,0.0,0,0.6231450024642982,True,9
no_curriculum:seed011:OOD-DYNLOC-004:r02,no_curriculum,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,2,1,5,"[[9, 1], [9, 3], [10, 2]]",4.414213562373095,4.414213562373095,0.0,0.0,0,0.48274599976139143,True,9
no_curriculum:seed011:OOD-DYNLOC-004:r03,no_curriculum,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,3,1,5,"[[9, 1], [9, 3], [10, 2]]",4.414213562373095,4.414213562373095,0.0,0.0,0,0.35722599932341836,True,9
no_curriculum:seed011:OOD-DYNLOC-004:r04,no_curriculum,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,4,1,5,"[[9, 1], [9, 3], [10, 2]]",4.414213562373095,4.414213562373095,0.0,0.0,0,0.3668329991342034,True,9
no_curriculum:seed011:OOD-DYNLOC-004:r05,no_curriculum,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,5,1,5,"[[9, 1], [9, 3], [10, 2]]",4.414213562373095,4.414213562373095,0.0,0.0,0,0.382060999982059,True,9
no_curriculum:seed011:OOD-DYNLOC-004:r06,no_curriculum,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,6,1,5,"[[9, 1], [9, 3], [10, 2]]",4.414213562373095,4.414213562373095,0.0,0.0,0,0.38686400148435496,True,9
no_curriculum:seed011:OOD-DYNLOC-004:r07,no_curriculum,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,7,1,5,"[[9, 1], [9, 3], [10, 2]]",4.414213562373095,4.414213562373095,0.0,0.0,0,0.37703100315411575,True,9
