run_id,variant,policy_seed,scenario_id,split,grid_size,repetition,event_index,change_step,changed_cells_json,pre_change_optimal_cost,post_change_optimal_cost,optimal_cost_delta,extra_optimal_cost,recovery_steps,reaction_time_ms,post_change_success,route_steps
no_her:seed011:OOD-DYNLOC-002:r01,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,1,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.36779599940928165,True,10
no_her:seed011:OOD-DYNLOC-002:r02,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,2,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.4885459984507179,True,10
no_her:seed011:OOD-DYNLOC-002:r03,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,3,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.46327900054166093,True,10
no_her:seed011:OOD-DYNLOC-002:r04,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,4,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.3887630009558052,True,10
no_her:seed011:OOD-DYNLOC-002:r05,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,5,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.3749389998120023,True,10
no_her:seed011:OOD-DYNLOC-002:r06,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,6,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.4253290007909527,True,10
no_her:seed011:OOD-DYNLOC-002:r07,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,7,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.4744039997603977,True,10
no_her:seed011:OOD-DYNLOC-002:r08,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,8,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.3956640011892887,True,10
no_her:seed011:OOD-DYNLOC-002:r09,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,9,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.41097500070463866,True,10
no_her:seed011:OOD-DYNLOC-002:r10,no_her,11,OOD-DYNLOC-002,new_dynamic_obstacle_locations,15,10,1,5,"[[9, 1], [9, 3], [10, 2]]",6.242640687119285,6.242640687119285,0.0,0.0,0,0.3735509999387432,True,10
no_her:seed011:OOD-DYNLOC-003:r01,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,1,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.336895000145887,True,6
no_her:seed011:OOD-DYNLOC-003:r02,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,2,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.32948800071608275,True,6
no_her:seed011:OOD-DYNLOC-003:r03,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,3,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.3448229999776231,True,6
no_her:seed011:OOD-DYNLOC-003:r04,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,4,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.36579999868990853,True,6
no_her:seed011:OOD-DYNLOC-003:r05,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,5,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.43199999890930485,True,6
no_her:seed011:OOD-DYNLOC-003:r06,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,6,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.3510120004648343,True,6
no_her:seed011:OOD-DYNLOC-003:r07,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,7,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.34678100018936675,True,6
no_her:seed011:OOD-DYNLOC-003:r08,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,8,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.38721000055375043,True,6
no_her:seed011:OOD-DYNLOC-003:r09,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,9,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.44824500037066173,True,6
no_her:seed011:OOD-DYNLOC-003:r10,no_her,11,OOD-DYNLOC-003,new_dynamic_obstacle_locations,15,10,1,5,"[[9, 1], [9, 3], [10, 2]]",1.0,1.0,0.0,0.0,0,0.42321300134062767,True,6
no_her:seed011:OOD-DYNLOC-004:r01,no_her,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,1,1,5,"[[9, 1], [9, 3], [10, 2]]",4.0,4.0,0.0,0.0,0,0.3416109993850114,True,9
no_her:seed011:OOD-DYNLOC-004:r02,no_her,11,OOD-DYNLOC-004,new_dynamic_obstacle_locations,15,2,1,5,"[[9, 1], [9, 3], [10, 2]]",4.0,4.0,0.0,0.0,0,0.3512660005071666,True,9
