method,split,policy_seed,scenarios,repetitions_per_scenario,route_measurements,route_mean_ms,route_median_ms,route_sample_std_ms,route_min_ms,route_max_ms,decision_measurements,decision_mean_ms,decision_median_ms,decision_sample_std_ms,decision_min_ms,decision_max_ms
astar,changed_toggle_periods,classical,30,10,300,0.4819406665966667,0.4284835005,0.3814169616681324,0.071452,2.292703,300,0.15866380739333333,0.1563183335,0.06786407379893968,0.035726,0.4585406
astar,denser_unseen_layout,classical,30,10,300,0.17747387000666667,0.157279,0.11513842752132514,0.045401,0.621994001,300,0.17747387000666667,0.157279,0.11513842752132514,0.045401,0.621994001
astar,moving_obstacles_period_2,classical,10,10,100,0.65644055984,0.667484499,0.31625186331678246,0.091951,1.316610001,100,0.12016385264,0.12770949999999998,0.04715710057013529,0.044642,0.263322
astar,moving_obstacles_period_4,classical,10,10,100,0.26439454008,0.247722,0.1331172978972476,0.087517,0.563041,100,0.10542706333,0.1070891665,0.03694946177909512,0.0437585,0.187680333
astar,new_dynamic_obstacle_locations,classical,30,10,300,0.19517581333333334,0.172541,0.12624481662115292,0.044642,0.920062001,300,0.10211478501666667,0.0913355,0.03887832620029772,0.044642,0.306687334
astar,no_fly_hard,classical,10,10,100,0.16503603996,0.137547,0.10402570828088391,0.063485,0.497668,100,0.16503603996,0.137547,0.10402570828088391,0.063485,0.497668
astar,no_fly_penalty,classical,10,10,100,0.32732910997,0.275081,0.2692530856312987,0.131467,2.577056,100,0.32732910997,0.275081,0.2692530856312987,0.131467,2.577056
astar,obstacle_density_10,classical,10,10,100,0.17595707,0.14150649999999998,0.08118925893488298,0.083254001,0.351842,100,0.17595707,0.14150649999999998,0.08118925893488298,0.083254001,0.351842
astar,obstacle_density_40,classical,10,10,100,0.18992934997,0.197016,0.07209889959117662,0.049527001,0.347059,100,0.18992934997,0.197016,0.07209889959117662,0.049527001,0.347059
astar,scale_100,classical,10,10,100,3.56590258996,2.556102,3.018096051360724,1.12728,21.367349,100,3.56590258996,2.556102,3.018096051360724,1.12728,21.367349
astar,scale_15,classical,10,10,100,0.31526991004,0.2515735,0.16344843752990457,0.138023,0.737943,100,0.31526991004,0.2515735,0.16344843752990457,0.138023,0.737943
astar,scale_30,classical,10,10,100,0.51347678999,0.493107,0.2829996962433961,0.157487,1.192018,100,0.51347678999,0.493107,0.2829996962433961,0.157487,1.192018
astar,scale_50,classical,10,10,100,0.97610695,0.8107970005,0.8281241549164325,0.26351,4.40219,100,0.97610695,0.8107970005,0.8281241549164325,0.26351,4.40219
astar,seen_layout_unseen_pairs,classical,30,10,300,0.15407926337666666,0.1392,0.0673030432338197,0.047237,0.389199,300,0.15407926337666666,0.1392,0.0673030432338197,0.047237,0.389199
astar,sensor_noise_p05,classical,10,10,100,0.47011883993,0.3662080005,0.24035873036431094,0.102868,0.944171999,100,0.47011883993,0.3662080005,0.24035873036431094,0.102868,0.944171999
astar,sensor_noise_p10,classical,10,10,100,0.31493595998,0.2289264995,0.1902457597146392,0.114734,1.307132,100,0.31493595998,0.2289264995,0.1902457597146392,0.114734,1.307132
astar,stochastic_obstacles_p05,classical,10,10,100,0.18898660006,0.1766360005,0.073309845910571,0.107503,0.35959,100,0.10512205255,0.08150450000000001,0.07468467320596128,0.0538645,0.35959
astar,stochastic_obstacles_p20,classical,10,10,100,0.39288739991,0.343187,0.20011819868939804,0.102616,0.692709001,100,0.07689816431,0.064086667,0.026691870283717785,0.04899675,0.1385418
astar,unseen_layout_same_density,classical,30,10,300,0.16456796001333332,0.1301585005,0.10478719627377461,0.053794,0.564214,300,0.16456796001333332,0.1301585005,0.10478719627377461,0.053794,0.564214
astar,wind_energy_penalty_0_25,classical,10,10,100,0.1732887999,0.1471765,0.10195772922987965,0.090517,0.480643999,100,0.1732887999,0.1471765,0.10195772922987965,0.090517,0.480643999
astar,wind_energy_penalty_1_0,classical,10,10,100,0.14501894998,0.1406035,0.05127754365277456,0.080129,0.275388,100,0.14501894998,0.1406035,0.05127754365277456,0.080129,0.275388
dijkstra,changed_toggle_periods,classical,30,10,300,2.7781515432866666,2.4414685,1.9016186076839339,0.347414,10.328212999,300,0.9948702181333333,0.9697914995,0.44470270190667105,0.173707,3.701349
dijkstra,denser_unseen_layout,classical,30,10,300,0.5693748999933333,0.5156925,0.3500204725259228,0.112084,3.980267999,300,0.5693748999933333,0.5156925,0.3500204725259228,0.112084,3.980267999
dijkstra,moving_obstacles_period_2,classical,10,10,100,3.94192288002,4.434166999,1.7093588264757076,0.708576001,6.003599,100,0.71570851164,0.77397705,0.21180597410756233,0.354288,1.0269844
dijkstra,moving_obstacles_period_4,classical,10,10,100,1.67848998995,1.5924019994999998,0.8178456925249644,0.489078,3.37709,100,0.67567299334,0.70383,0.24443628619159496,0.244539,1.125696667
dijkstra,new_dynamic_obstacle_locations,classical,30,10,300,1.1144115466066666,1.0203064995000002,0.6532985221309197,0.143083999,3.149881999,300,0.59627933831,0.5476827495000001,0.2498190196578308,0.143083999,1.574940999
dijkstra,no_fly_hard,classical,10,10,100,1.04931327,0.9909209999999999,0.5288982828730387,0.273579,2.606931999,100,1.04931327,0.9909209999999999,0.5288982828730387,0.273579,2.606931999
dijkstra,no_fly_penalty,classical,10,10,100,1.65717082004,1.5936370005,0.5050239933157012,0.787466999,3.990508,100,1.65717082004,1.5936370005,0.5050239933157012,0.787466999,3.990508
dijkstra,obstacle_density_10,classical,10,10,100,0.74991936999,0.7112169995,0.225719563684178,0.449056,1.258709,100,0.74991936999,0.7112169995,0.225719563684178,0.449056,1.258709
dijkstra,obstacle_density_40,classical,10,10,100,0.64920351002,0.681798,0.13344694182749603,0.301567,0.80504,100,0.64920351002,0.681798,0.13344694182749603,0.301567,0.80504
dijkstra,scale_100,classical,10,10,100,44.54314314998,41.681107999999995,17.575352105301548,12.165028999,79.597123,100,44.54314314998,41.681107999999995,17.575352105301548,12.165028999,79.597123
dijkstra,scale_15,classical,10,10,100,1.46119212998,1.4866570000000001,0.5163641075465915,0.715802,2.862415,100,1.46119212998,1.4866570000000001,0.5163641075465915,0.715802,2.862415
dijkstra,scale_30,classical,10,10,100,3.36594339999,3.6430974999999997,1.7891743805588933,1.059704,8.215726,100,3.36594339999,3.6430974999999997,1.7891743805588933,1.059704,8.215726
dijkstra,scale_50,classical,10,10,100,8.29721382998,5.876115499999999,6.025950014036449,1.879615,33.905195,100,8.29721382998,5.876115499999999,6.025950014036449,1.879615,33.905195
dijkstra,seen_layout_unseen_pairs,classical,30,10,300,0.6456180500233333,0.6182905000000001,0.2187190468383878,0.318151,1.221659,300,0.6456180500233333,0.6182905000000001,0.2187190468383878,0.318151,1.221659
dijkstra,sensor_noise_p05,classical,10,10,100,2.17865282001,2.336593,0.5062419634068219,0.955869,3.090773001,100,2.17865282001,2.336593,0.5062419634068219,0.955869,3.090773001
dijkstra,sensor_noise_p10,classical,10,10,100,1.73759561005,1.3954744995000001,0.7806089796478424,0.373323001,3.835651,100,1.73759561005,1.3954744995000001,0.7806089796478424,0.373323001,3.835651
dijkstra,stochastic_obstacles_p05,classical,10,10,100,1.26617635995,1.247747,0.6246142518375905,0.434904,2.699597999,100,0.65875530666,0.66038675,0.31461257619865607,0.175394667,1.362950999
dijkstra,stochastic_obstacles_p20,classical,10,10,100,3.14920510984,2.0065969995,2.4676444133672972,0.813372999,8.439190999,100,0.58376061325,0.4508595,0.3457103122432562,0.22709375,1.22671
dijkstra,unseen_layout_same_density,classical,30,10,300,0.7035369399966667,0.6902315,0.3184618146109662,0.21893,1.81372,300,0.7035369399966667,0.6902315,0.3184618146109662,0.21893,1.81372
dijkstra,wind_energy_penalty_0_25,classical,10,10,100,1.10188915999,1.1994505,0.3475993182729479,0.322485,1.713454,100,1.10188915999,1.1994505,0.3475993182729479,0.322485,1.713454
dijkstra,wind_energy_penalty_1_0,classical,10,10,100,0.82283445003,0.9067764995,0.23901895895577271,0.440396,1.157597,100,0.82283445003,0.9067764995,0.23901895895577271,0.440396,1.157597
dstar_lite,changed_toggle_periods,classical,30,10,300,4.163260973373333,3.14851,2.8009674644879583,0.717647,12.735619,300,1.51443214834,1.4013959585,0.7940846086469603,0.347589,4.279646
dstar_lite,denser_unseen_layout,classical,30,10,300,2.0410591199966666,1.5026739999999998,1.1672847545899958,0.514545,6.680782,300,2.0410591199966666,1.5026739999999998,1.1672847545899958,0.514545,6.680782
dstar_lite,moving_obstacles_period_2,classical,10,10,100,3.94462690987,4.1235740005,1.733339219979907,0.867762999,7.127050999,100,0.73754466094,0.8214562,0.23184932742041592,0.383493333,1.376499
dstar_lite,moving_obstacles_period_4,classical,10,10,100,2.64569827997,2.6678715005,1.2360102666651414,0.943637001,6.012616,100,1.07343383497,0.9664170000000001,0.3727847819747336,0.471818501,2.004205333
