scenario_id,start,goal,success,timed_out,initial_dijkstra_cost,dynamic_path_cost,adaptability_extra_cost,steps_taken,replans,total_planning_time_ms,replan_events
1,"11,0","1,13",True,False,17.142136,17.142136,0.000000,13,3,7.010200,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.002779899979941547, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0022497999598272145, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.001980500004719943, ""found"": true}]"
2,"0,6","12,12",True,False,14.485281,14.485281,0.000000,12,3,8.115200,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0023264000192284584, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0038730999804101884, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0019156999769620597, ""found"": true}]"
3,"4,11","4,2",True,False,9.000000,9.828427,0.828427,9,2,5.300400,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0027061000000685453, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0025942999636754394, ""found"": true}]"
4,"3,12","2,5",True,False,7.414214,7.414214,0.000000,7,2,4.360900,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0018313999753445387, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.002529499994125217, ""found"": true}]"
5,"12,10","1,11",True,False,11.414214,11.414214,0.000000,11,3,7.078800,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.004022699955385178, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0027065000031143427, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00034959998447448015, ""found"": true}]"
6,"9,6","1,7",True,False,8.414214,8.414214,0.000000,8,2,3.414900,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.001995900005567819, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0014189999783411622, ""found"": true}]"
7,"3,14","8,11",True,False,6.242641,6.242641,0.000000,5,2,1.271200,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0010899000335484743, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00018130004173144698, ""found"": true}]"
8,"10,6","0,6",True,False,10.000000,10.000000,0.000000,10,3,5.833300,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.004027999995741993, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0017819000058807433, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 2.340000355616212e-05, ""found"": true}]"
9,"9,10","3,5",True,False,8.071068,8.071068,0.000000,6,2,3.481700,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.003031900036148727, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00044979999074712396, ""found"": true}]"
10,"12,1","9,6",True,False,6.242641,6.242641,0.000000,5,2,1.236300,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.001081500027794391, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00015480001457035542, ""found"": true}]"
11,"7,3","3,11",True,False,9.656854,9.656854,0.000000,8,2,4.105800,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0027348000439815223, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0013710000202991068, ""found"": true}]"
12,"7,10","10,2",True,False,9.242641,9.242641,0.000000,8,2,5.338900,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.003912800049874932, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0014261000324040651, ""found"": true}]"
13,"4,12","14,0",True,False,16.142136,16.142136,0.000000,12,3,10.280100,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.004492299980483949, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.004732100002001971, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0010557000059634447, ""found"": true}]"
14,"0,1","13,2",True,False,13.414214,13.414214,0.000000,13,3,6.996700,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.003130699973553419, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.002931299968622625, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0009347000159323215, ""found"": true}]"
15,"13,14","2,10",True,False,12.656854,12.656854,0.000000,11,3,5.627400,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0029649000498466194, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.002489300037268549, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00017319998005405068, ""found"": true}]"
16,"12,0","7,4",True,False,6.656854,6.656854,0.000000,5,2,0.820700,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0007320999866351485, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 8.859997615218163e-05, ""found"": true}]"
17,"13,3","5,12",True,False,12.313708,12.313708,0.000000,9,2,5.635300,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0028846999630331993, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.002750599989667535, ""found"": true}]"
18,"6,8","1,9",True,False,5.414214,5.414214,0.000000,5,2,0.892900,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0008207000209949911, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 7.22000258974731e-05, ""found"": true}]"
19,"6,2","14,9",True,False,10.899495,10.899495,0.000000,8,2,2.986200,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.002027600014116615, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0009586000232957304, ""found"": true}]"
20,"5,14","10,6",True,False,10.071068,10.071068,0.000000,8,2,2.860300,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.001324000011663884, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0015362999984063208, ""found"": true}]"
21,"4,8","13,14",True,False,11.485281,11.485281,0.000000,9,2,3.660100,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.002186400000937283, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0014736999874003232, ""found"": true}]"
22,"0,11","12,8",True,False,13.242641,13.242641,0.000000,12,3,3.743800,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0017614999669604003, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00163870002143085, ""found"": true}, {""step"": 10, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.00034359999699518085, ""found"": true}]"
23,"7,13","9,4",True,False,9.828427,9.828427,0.000000,9,2,2.999800,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0013955000322312117, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0016042999923229218, ""found"": true}]"
24,"2,1","6,7",True,False,7.656854,7.656854,0.000000,6,2,1.948700,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0014743999927304685, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0004743000026792288, ""found"": true}]"
25,"1,5","9,8",True,False,9.242641,9.242641,0.000000,8,2,3.650700,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.002399899996817112, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0012507999781519175, ""found"": true}]"
26,"5,1","14,5",True,False,10.656854,10.656854,0.000000,9,2,4.275800,"[{""step"": 0, ""reason"": ""initial_plan"", ""duration"": 0.0026913000037893653, ""found"": true}, {""step"": 5, ""reason"": ""dynamic_change:[(4, 4), (8, 8), (12, 11)]"", ""duration"": 0.0015845000161789358, ""found"": true}]"
