scenario_id,start,goal,success,steps_taken,rl_path_cost,compute_time_ms
1,"11,0","1,13",True,13,17.142136,7.094
2,"0,6","12,12",True,12,15.313708,7.857
3,"4,11","4,2",True,9,12.313708,5.349
4,"3,12","2,5",True,7,9.899495,3.919
5,"12,10","1,11",True,11,15.556349,5.052
6,"9,6","1,7",False,5,N/A,2.620
7,"3,14","8,11",True,5,6.242641,2.083
8,"10,6","0,6",True,10,14.142136,6.306
9,"9,10","3,5",True,6,8.071068,2.646
10,"12,1","9,6",True,5,6.242641,2.097
11,"7,3","3,11",True,8,10.485281,4.537
12,"7,10","10,2",True,8,10.899495,3.246
13,"4,12","14,0",True,12,16.970563,5.231
14,"0,1","13,2",True,13,16.727922,6.497
15,"13,14","2,10",True,11,15.142136,7.918
16,"12,0","7,4",True,5,6.656854,2.156
17,"13,3","5,12",True,9,12.313708,5.925
18,"6,8","1,9",True,5,7.071068,3.974
19,"6,2","14,9",True,8,10.899495,5.868
20,"5,14","10,6",True,8,10.899495,3.340
21,"4,8","13,14",True,9,11.485281,6.797
22,"0,11","12,8",True,12,15.727922,8.518
23,"7,13","9,4",True,9,12.313708,6.309
24,"2,1","6,7",True,6,7.656854,4.376
25,"1,5","9,8",True,8,9.242641,6.607
26,"5,1","14,5",True,9,10.656854,3.739
27,"14,13","6,3",True,10,13.313708,4.271
28,"9,14","3,4",True,10,14.142136,4.175
29,"12,2","1,2",True,11,14.313708,4.837
30,"0,11","11,6",True,11,13.899495,10.362
31,"3,13","13,5",True,10,13.313708,4.151
32,"5,0","1,5",True,5,6.656854,3.172
33,"14,11","3,14",True,11,14.727922,4.812
34,"14,14","1,10",True,13,17.970563,5.702
35,"14,6","6,4",True,8,10.485281,3.469
36,"2,11","6,5",True,6,8.485281,2.662
37,"6,1","3,8",True,7,9.071068,3.085
38,"11,8","4,9",True,7,9.899495,2.850
39,"12,1","11,11",True,10,13.727922,7.097
40,"11,2","1,3",True,10,13.727922,6.972
41,"10,7","10,14",True,7,9.485281,5.098
42,"2,13","9,3",True,10,13.727922,7.381
43,"12,8","4,2",True,8,11.313708,5.095
44,"2,11","7,14",True,5,6.242641,3.444
45,"11,0","11,13",True,13,17.970563,9.393
46,"9,9","3,11",True,6,7.656854,4.292
47,"11,12","5,9",True,6,8.071068,4.605
48,"13,6","0,14",True,13,17.142136,9.541
49,"3,13","14,3",True,11,15.142136,8.023
50,"0,8","13,14",True,13,16.313708,9.449
