#{"t_start": 1784368411.4983675, "env_id": "None"}
r,l,t
4.166417,225,3.524762
5.501686,225,4.327276
12.904621,225,6.208684
5.378133,225,6.715867
2.414214,1,6.721198
5.098061,225,7.715964
2.0,1,7.721048
9.650479,225,9.278601
5.615828,225,10.425224
8.690113,225,12.023711
19.033271,225,17.035164
5.31066,225,17.753804
5.378133,225,18.350353
8.797809,225,19.961712
4.423848,225,20.516113
2.833919,225,20.998501
3.365828,225,21.657222
3.668356,225,21.93766
5.615828,225,22.847461
7.953402,225,24.679715
