#{"t_start": 1784343020.691273, "env_id": "None"}
r,l,t
19.721505,225,3536.461811
27.019983,225,3539.445771
2.414214,1,3539.450877
8.015706,6,3539.477663
3.428356,2,3539.485554
10.033473,14,3539.577553
6.95328,5,3539.600976
6.949138,5,3539.617196
30.211883,225,3544.181139
4.444214,3,3544.192464
9.508204,8,13411.412787
20.706316,225,13415.340951
19.871547,225,13419.579167
6.95328,5,13419.628795
37.583977,225,13427.737265
3.044142,4,13427.753327
15.222763,16,13427.978932
4.56664,7,13428.019519
30.276429,225,13435.088735
36.178788,225,13442.638384
-0.334365,3,2.633287
-0.937574,1,2.649055
-0.99,1,2.653085
-2.141228,4,2.726128
-4.462153,6,2.75876
0.325563,4,2.787715
-0.385929,2,2.791078
-0.833431,5,2.803424
-1.93066,5,2.860213
-3.45331,4,2.905418
-1.770294,2,2.934314
0.917553,6,3.005687
-2.301076,2,3.013654
2.156569,6,3.022866
-0.947574,1,3.030552
2.448356,4,3.033749
-0.975858,1,3.036545
-0.887574,1,3.046862
1.093057,6,3.118175
-1.329361,2,3.124143
-0.084508,3,3.146109
-0.42074,5,3.194001
-3.001371,6,3.236955
-2.243503,4,3.249669
-0.965858,1,3.25301
1.378843,6,3.30593
-0.744092,8,3.358273
1.019848,3,3.382154
1.698255,6,3.456035
-0.01537,7,3.491717
-2.366589,5,3.514323
0.045492,10,3.537165
-1.855807,5,3.567089
-2.653827,9,3.630503
-0.951716,1,3.63579
2.324722,18,3.798912
-1.445593,5,3.851771
-0.873431,1,3.866709
-0.897574,1,3.87717
4.307128,6,3.91821
2.780488,6,3.940329
-0.289512,3,3.971834
0.595635,2,3.993567
-0.911716,1,4.001149
0.555635,2,4.015051
-0.290732,4,4.06648
-3.167401,11,4.154384
-1.907574,3,4.161659
-0.861005,1,4.182658
-2.136224,2,4.212447
-0.708579,4,4.272374
-2.152792,2,4.319866
-0.887574,1,4.331061
-2.061371,3,4.375476
-2.809289,3,4.390794
-0.931716,1,4.40375
-0.951716,1,4.410064
-0.855147,1,4.432629
2.414214,1,4.435056
-0.875147,2,4.444385
-0.925858,1,4.457046
-2.481463,8,4.572246
-1.706863,2,4.609764
-1.025513,4,4.630168
-1.429218,2,4.645841
-0.975858,1,4.649457
-1.344365,2,4.667739
0.01135,4,4.704259
-2.403431,7,4.754009
-2.251594,7,4.82196
-1.317645,2,4.82732
-1.685959,6,4.881081
-1.729899,6,4.943708
-1.843431,2,4.951113
-2.664437,5,4.969526
-0.957574,1,4.972759
2.0,1,4.974665
-2.596518,7,5.026828
-4.898112,14,5.115409
-1.945858,3,5.118459
0.16934,8,5.172885
-0.961716,1,5.179321
-1.465786,2,5.19032
-2.968802,4,5.258706
1.454214,3,5.263152
0.550265,5,5.363199
-0.961716,1,5.370848
2.16661,23,5.522983
0.193137,2,5.545553
1.468995,5,5.602767
-0.851005,1,5.619764
-1.663797,12,5.673586
1.859777,8,5.713695
-1.234874,5,5.768871
-1.743431,2,5.785448
2.643209,5,5.798016
-0.712721,3,5.817305
-2.385076,4,5.830372
-0.865858,3,5.83558
-0.801127,10,5.926844
-0.887574,1,5.937901
-1.091076,3,5.958591
-2.087939,2,5.980158
-0.305929,2,5.989397
-2.628579,4,6.018308
-1.710294,2,6.042433
-0.937574,1,6.049575
-0.357502,2,6.067076
0.914264,7,6.13073
0.482498,2,6.137254
1.173137,5,6.152132
-0.136447,5,6.23801
-3.243869,4,6.285038
-3.178154,5,6.311415
2.216619,14,6.408228
-0.851005,1,6.421632
1.451026,9,6.488938
-1.057939,4,6.520239
-0.937574,1,6.525673
-0.921716,1,6.531269
0.534214,2,6.542852
-0.806863,3,6.555593
-0.883431,1,6.565249
-0.98,2,6.567099
-0.917574,1,6.573308
4.652275,7,6.626677
-0.955858,1,6.631471
3.529066,7,6.639388
-0.564437,4,6.667063
-0.853431,1,6.683097
-0.955858,1,6.687762
0.088284,2,6.695523
0.058133,6,6.707589
0.036346,5,6.748979
-1.729289,8,6.757707
1.377889,7,6.823936
7.71397,27,6.914414
4.947696,10,6.971745
-1.351939,3,6.984431
-0.289361,2,6.989174
-1.415736,9,7.034119
0.310559,4,7.074234
0.067624,4,7.113482
-0.903431,1,7.123375
-0.377502,2,7.136507
-1.853087,6,7.170839
-0.882224,4,7.185549
-0.913431,1,7.191767
2.198284,4,7.203822
-1.84,2,7.214122
-0.927229,3,7.24829
-0.897574,1,7.255989
-0.301076,2,7.265172
1.445757,6,7.324458
-1.348507,3,7.345434
-0.846863,1,7.359135
-0.469218,2,7.367763
-0.34336,3,7.384669
-2.471665,7,7.44069
-1.695147,2,7.460891
0.052763,8,7.510056
-0.915614,7,7.574242
-0.871005,1,7.586203
-1.744945,5,7.619964
0.514062,11,7.633587
-1.847574,4,7.642032
-0.951716,3,7.645542
0.187279,4,7.657655
-1.273503,5,7.66472
1.572325,12,7.739132
-0.066934,4,7.764961
-0.915858,1,7.774257
0.569066,3,7.780688
-4.978793,4,7.800797
-0.951716,1,7.805793
1.352426,6,7.832531
-1.234731,5,7.892004
-0.716863,3,7.937188
-0.851716,1,7.964625
5.443696,14,8.100392
-2.792792,6,8.17485
-0.961716,1,8.179174
-0.209361,2,8.194447
-0.98,2,8.197219
-0.875858,1,8.206059
-1.117645,2,8.226331
-0.336741,9,8.270256
-0.975858,1,8.272511
-0.927574,1,8.280639
-1.346791,4,8.295445
-0.875147,1,8.306074
-0.895858,1,8.315042
-2.687716,3,8.321424
4.569605,20,8.457397
-2.231076,3,8.472638
-0.931716,1,8.479715
-1.003949,5,8.526231
-1.67201,3,8.556653
2.208843,4,8.596401
-4.970538,11,8.688607
-1.686863,2,8.712523
-1.795147,2,8.727753
-0.960913,21,8.875182
0.233137,2,8.896657
0.388852,5,8.907181
-0.317645,2,8.91449
-0.871005,1,8.927709
-0.927574,1,8.934074
0.530782,2,8.944652
0.666346,3,8.971681
-1.33524,6,9.026685
3.225992,16,9.169513
2.0,1,9.171655
-1.673726,2,9.192525
0.607351,2,9.209856
-0.364092,7,9.283378
0.007918,4,9.306832
0.677838,7,9.360071
-0.889289,1,9.368348
-1.230395,15,9.436611
-0.921716,1,9.447681
-0.957574,1,9.452467
-1.459878,3,9.484131
-0.469218,2,9.494553
-0.965858,1,9.499845
0.112914,8,9.526937
-0.284802,14,9.593754
0.666346,4,9.615623
-2.331787,4,9.619668
-2.691514,18,9.646398
2.44799,5,9.673887
1.541127,10,9.701638
-3.560437,4,9.716697
-1.233604,9,9.770149
-0.405786,2,9.784891
-1.132082,5,9.79791
0.386123,5,9.847587
-3.416447,10,9.876849
-0.876863,1,9.888059
-0.961716,3,9.890505
-0.897574,1,9.900274
0.325563,9,9.919243
-1.138507,6,9.945449
0.136569,2,9.960634
-0.985858,1,9.962257
-0.907574,1,9.968125
-2.209361,2,9.985621
-0.851005,1,9.999796
1.114781,6,10.052319
0.56598,7,10.085465
-0.893431,1,10.096662
-0.866863,1,10.107102
-0.937574,1,10.111128
-0.961716,1,10.114409
-1.754437,3,10.126859
-2.006518,2,10.154375
-0.948944,4,10.18826
0.094996,3,10.206212
0.401421,3,10.234939
-2.221076,2,10.245569
-0.899289,1,10.252736
-0.897574,1,10.259058
-0.98,2,10.26115
-1.332649,2,10.276209
-1.102082,6,10.295299
-2.033087,5,10.313216
-3.227645,4,10.322755
-0.891716,6,10.327075
-2.042082,5,10.351903
-0.941716,1,10.358325
0.482498,5,10.362504
1.689777,4,10.380099
-0.951716,1,10.384451
-0.881005,1,10.399311
-0.372649,2,10.425567
-0.857574,1,10.439311
-3.12997,41,10.787731
-1.871716,2,10.79674
0.056569,3,10.801044
-3.205929,3,10.814913
-1.495736,7,10.857086
-0.649533,4,10.903382
-1.694386,4,10.948011
-1.399584,5,10.991365
-1.323604,5,11.026255
-0.901716,1,11.038006
-2.092792,2,11.060599
-0.897574,1,11.073961
-0.43267,6,11.132379
0.395219,27,11.265621
