time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
59,0,5.9,67,-1.2645123,0.1,10,0.9996263333333334,,,
106,0,5.3,116,-1.2861109,0.05,20,0.9993286666666668,,,
129,0,4.3,137,-1.2322902666666666,0.03333333333333333,30,0.9991829999999999,,,
165,0,4.125,170,-1.23329225,0.025,40,0.9989549999999999,,,
208,1,4.16,207,-1.20864302,0.04,50,0.9986826666666667,,,
276,1,4.6,264,-1.2634827000000002,0.03333333333333333,60,0.9982519999999999,,,
314,1,4.485714285714286,292,-1.233079885714286,0.04285714285714286,70,0.9980113333333334,,,
369,1,4.6125,332,-1.26032945,0.0375,80,0.9976630000000001,,,
413,1,4.588888888888889,360,-1.268949511111111,0.03333333333333333,90,0.9973843333333333,,,
464,1,4.64,388,-1.2806031500000001,0.03,100,0.9970613333333332,,,
493,1,4.34,398,-1.27207147,0.02,110,0.9968776666666667,,,
535,1,4.29,419,-1.2736522700000001,0.02,120,0.9966116666666667,,,
584,1,4.55,445,-1.29926269,0.02,130,0.9963013333333334,,,
611,1,4.46,456,-1.29079025,0.02,140,0.9961303333333333,,,
648,1,4.4,472,-1.3057618500000001,0.01,150,0.9958959999999999,,,
683,1,4.07,486,-1.2729091599999998,0.01,160,0.9956743333333332,,,
716,1,4.02,497,-1.2894683,0.0,170,0.9954653333333334,,,
791,1,4.22,532,-1.30912445,0.0,180,0.9949903333333334,,,
818,1,4.05,540,-1.2898758399999999,0.0,190,0.9948193333333334,,,
870,1,4.06,560,-1.29071197,0.0,200,0.99449,,,
893,1,4.0,565,-1.2862335999999999,0.0,210,0.9943443333333334,,,
914,1,3.79,569,-1.2408607600000001,0.01,220,0.9942113333333333,,,
990,1,4.06,601,-1.2681917200000001,0.01,230,0.99373,,,
1018,1,4.07,585,-1.2723041499999999,0.01,240,0.9935526666666666,,,
1055,1,4.07,594,-1.2697208700000002,0.01,250,0.9933183333333334,,,
1086,1,4.03,601,-1.2676696800000002,0.01,260,0.9931220000000001,,,
1125,1,4.09,612,-1.2717118900000002,0.01,270,0.992875,,,
1168,1,3.77,623,-1.23686481,0.01,280,0.9926026666666667,,,
1218,1,4.0,638,-1.23809184,0.02,290,0.9922860000000001,,,
1243,1,3.73,642,-1.21740832,0.02,300,0.9921276666666665,,,
1261,1,3.68,643,-1.21216642,0.02,310,0.9920136666666667,,,
1303,2,3.89,650,-1.25310567,0.01,320,0.9917476666666666,,,
1338,2,3.48,649,-1.18969938,0.02,330,0.9915259999999999,,,
1372,2,3.54,648,-1.1918803199999999,0.02,340,0.9913106666666667,,,
1403,2,3.48,648,-1.1860323099999999,0.02,350,0.9911143333333333,,,
1448,2,3.62,652,-1.19934344,0.02,360,0.9908293333333333,,,
1479,2,3.54,651,-1.1933451,0.02,370,0.990633,,,
1526,2,3.58,652,-1.2000128700000001,0.02,380,0.9903353333333333,,,
1570,2,3.52,656,-1.2127455999999999,0.01,390,0.9900566666666667,,,
1595,2,3.52,655,-1.20833934,0.01,400,0.9898983333333334,,,
1657,2,3.96,663,-1.2509461400000002,0.01,410,0.9895056666666667,,,
1710,2,4.07,669,-1.2722836499999999,0.01,420,0.9891699999999999,,,
1747,2,4.09,671,-1.2978667799999999,0.0,430,0.9889356666666668,,,
1797,2,4.25,675,-1.31594575,0.0,440,0.9886189999999999,,,
1823,2,4.2,674,-1.27592776,0.02,450,0.9884543333333334,,,
1856,2,4.08,674,-1.26411342,0.02,460,0.9882453333333333,,,
1886,2,4.07,674,-1.26586894,0.02,470,0.9880553333333333,,,
1984,2,4.58,690,-1.3107346800000002,0.02,480,0.9874346666666666,,,
2046,2,4.76,693,-1.3117049500000002,0.03,490,0.9870419999999999,,,
2077,3,4.82,692,-1.3175055999999998,0.03,500,0.9868456666666667,,,
2114,3,4.57,693,-1.29712355,0.03,510,0.9866113333333334,,,
2143,3,4.33,692,-1.2637862899999999,0.03,520,0.9864276666666668,,,
2179,3,4.32,694,-1.2598287,0.03,530,0.9861996666666668,,,
2207,3,4.1,693,-1.23591588,0.03,540,0.9860223333333333,,,
2233,3,4.1,692,-1.25068343,0.02,550,0.9858576666666666,,,
