scenario_id,mode,grid_size,route_bucket,success,failure_label,immediate_invalid_action_crash,invalid_action_crash,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,decisions,path_cost,initial_astar_cost,path_cost_gap,mean_decision_latency_ms,episode_budget,budget_to_astar_cost_ratio,repeated_cell_count,dynamic_event_count
VAL-G015-SHORT-01,original,15,short,True,success,False,False,False,False,False,False,False,5,5.82842712474619,5.82842712474619,0.0,0.39309998974204063,24,4.1177490060914375,0,1
VAL-G015-SHORT-01,posthoc_masked,15,short,True,success,False,False,False,False,False,False,False,5,5.82842712474619,5.82842712474619,0.0,0.0358800170943141,24,4.1177490060914375,0,1
VAL-G015-SHORT-02,original,15,short,True,success,False,False,False,False,False,False,False,4,5.242640687119286,4.414213562373095,0.8284271247461907,0.6548249803017825,20,4.530818393219729,0,0
VAL-G015-SHORT-02,posthoc_masked,15,short,True,success,False,False,False,False,False,False,False,4,5.242640687119286,4.414213562373095,0.8284271247461907,0.04682494909502566,20,4.530818393219729,0,0
VAL-G015-SHORT-03,original,15,short,True,success,False,False,False,False,False,False,False,3,3.414213562373095,3.414213562373095,0.0,0.665333354845643,20,5.85786437626905,0,0
VAL-G015-SHORT-03,posthoc_masked,15,short,True,success,False,False,False,False,False,False,False,3,3.414213562373095,3.414213562373095,0.0,0.041700045888622604,20,5.85786437626905,0,0
VAL-G015-MEDIUM-01,original,15,medium,True,success,False,False,False,False,False,False,False,6,7.656854249492381,6.0,1.6568542494923806,0.3694500192068517,24,4.0,0,1
VAL-G015-MEDIUM-01,posthoc_masked,15,medium,True,success,False,False,False,False,False,False,False,6,7.656854249492381,6.0,1.6568542494923806,0.04298333078622818,24,4.0,0,1
VAL-G015-MEDIUM-02,original,15,medium,True,success,False,False,False,False,False,False,False,7,8.656854249492381,8.65685424949238,1.7763568394002505e-15,0.602414266073278,35,4.043039075314492,0,0
VAL-G015-MEDIUM-02,posthoc_masked,15,medium,True,success,False,False,False,False,False,False,False,7,8.656854249492381,8.65685424949238,1.7763568394002505e-15,0.0397857345108475,35,4.043039075314492,0,0
VAL-G015-MEDIUM-03,original,15,medium,True,success,False,False,False,False,False,False,False,9,11.899494936611667,10.242640687119284,1.6568542494923832,0.5493110770152675,41,4.002873990450517,0,3
VAL-G015-MEDIUM-03,posthoc_masked,15,medium,True,success,False,False,False,False,False,False,False,9,11.899494936611667,10.242640687119284,1.6568542494923832,0.031799996375209756,41,4.002873990450517,0,3
