grid_size,mode,failure_label,count
15,original,success,22
15,posthoc_masked,success,22
20,original,success,16
20,posthoc_masked,success,16
30,original,collision,1
30,original,success,15
30,original,two_cell_oscillation,6
30,posthoc_masked,success,15
30,posthoc_masked,two_cell_oscillation,7
40,original,collision,1
40,original,longer_repeated_loop,2
40,original,success,7
40,original,two_cell_oscillation,6
40,posthoc_masked,longer_repeated_loop,3
40,posthoc_masked,success,7
40,posthoc_masked,two_cell_oscillation,6
50,original,collision,4
50,original,immediate_invalid_action_crash,1
50,original,success,8
50,original,two_cell_oscillation,9
50,posthoc_masked,longer_repeated_loop,1
50,posthoc_masked,success,9
50,posthoc_masked,two_cell_oscillation,12
75,original,collision,4
75,original,longer_repeated_loop,4
75,original,success,5
75,original,two_cell_oscillation,3
75,posthoc_masked,longer_repeated_loop,7
75,posthoc_masked,success,6
75,posthoc_masked,two_cell_oscillation,3
100,original,collision,7
100,original,longer_repeated_loop,8
100,original,success,5
100,original,two_cell_oscillation,2
100,posthoc_masked,longer_repeated_loop,10
100,posthoc_masked,success,6
100,posthoc_masked,two_cell_oscillation,6
