scenario_id,grid_size,route_bucket,scenario_family,success,collision,timeout,two_cell_oscillation,longer_loop,excessive_detour,failure_label,post_change_completion,dynamic_event_count,path_cost,fresh_astar_cost,path_cost_gap,decisions,mean_decision_latency_ms,decision_computation_seconds,episode_computation_seconds
VAL2-G015-EMPTY-SHORT-01,15,short,empty,True,False,False,False,False,False,success,,0,3.0,3.0,0.0,3,2.857033357334634,0.008571100072003901,0.012371100019663572
VAL2-G015-EMPTY-SHORT-02,15,short,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,4.242640687119286,,30,2.9193533351644874,0.08758060005493462,0.13163630000781268
VAL2-G015-EMPTY-MEDIUM-01,15,medium,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,10.0,,40,2.4292699963552877,0.09717079985421151,0.14393419993575662
VAL2-G015-EMPTY-MEDIUM-02,15,medium,empty,False,False,True,False,True,True,longer_repeated_loop,,0,,7.82842712474619,,32,2.2480093721242156,0.0719362999079749,0.10079619998577982
VAL2-G015-EMPTY-LONG-01,15,long,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,14.485281374238571,,58,2.3518965563512055,0.1364100002683699,0.200431999983266
VAL2-G015-EMPTY-LONG-02,15,long,empty,False,False,True,True,True,True,two_cell_oscillation,,0,,12.485281374238571,,50,2.3330019949935377,0.11665009974967688,0.16653849999420345
VAL2-G015-RANDOM_STATIC-SHORT-01,15,short,random_static,False,False,True,False,True,True,longer_repeated_loop,,0,,4.414213562373095,,30,2.5257333337018886,0.07577200001105666,0.10609649994876236
VAL2-G015-RANDOM_STATIC-SHORT-02,15,short,random_static,False,False,True,False,True,True,longer_repeated_loop,,0,,4.414213562373095,,30,2.193506663509955,0.06580519990529865,0.09210509993135929
VAL2-G015-RANDOM_STATIC-MEDIUM-01,15,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,6.414213562373095,,30,2.2631933408168456,0.06789580022450536,0.10217859991826117
VAL2-G015-RANDOM_STATIC-MEDIUM-02,15,medium,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,9.414213562373096,,38,2.550492106054566,0.09691870003007352,0.14736649999395013
VAL2-G015-RANDOM_STATIC-LONG-01,15,long,random_static,False,False,True,True,True,True,two_cell_oscillation,,0,,11.656854249492381,,47,2.6423872394011694,0.12419220025185496,0.17346560000441968
