---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
---------------------------------------------------------------------------------------------------------
   1 |        [8 1] |      W |      3.0000 |     3.1623 |    0.0000 |     -0.1 |   -0.1000
   2 |        [8 0] |      S |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
   3 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
   4 |        [9 1] |      E |      2.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
   5 |        [9 2] |     SE |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
   6 |      [10  3] |      S |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
   7 |      [11  3] |      W |      2.0000 |     1.0000 |    1.0000 |     -0.1 |    0.9000
   8 |      [11  2] |      S |      1.0000 |     1.4142 |    0.0000 |     -0.1 |   -0.1000
   9 |      [12  2] |      S |      1.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  10 |      [13  2] |      S |      2.0000 |     3.1623 |   -1.0000 |     -0.1 |   -1.1000
  11 |      [14  2] |      E |      3.0000 |     3.6056 |    0.0000 |     -0.1 |   -0.1000
  12 |      [14  3] |      E |      3.0000 |     4.2426 |    0.0000 |     -0.1 |   -0.1000
  13 |      [14  4] |      E |      3.0000 |     5.0000 |   -1.0000 |     -0.1 |   -1.1000
  14 |      [14  5] |      W |      4.0000 |     4.2426 |   -1.0000 |     -0.1 |   -1.1000
  15 |      [14  4] |      W |      3.0000 |     3.6056 |   -2.0000 |     -0.1 |   -2.1000
  16 |      [14  3] |      W |      3.0000 |     3.1623 |   -2.0000 |     -0.1 |   -2.1000
  17 |      [14  2] |      W |      3.0000 |     3.0000 |    0.0000 |     -0.1 |   -0.1000
  18 |      [14  1] |      W |      3.0000 |     3.1623 |    0.0000 |     -0.1 |   -0.1000
  19 |      [14  0] |      E |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  20 |      [14  1] |      E |      3.0000 |     3.1623 |   -4.0000 |     -0.1 |   -4.1000
  21 |      [14  2] |      E |      3.0000 |     3.6056 |   -4.0000 |     -0.1 |   -4.1000
  22 |      [14  3] |      E |      3.0000 |     4.2426 |   -4.0000 |     -0.1 |   -4.1000
  23 |      [14  4] |      E |      3.0000 |     5.0000 |   -3.0000 |     -0.1 |   -3.1000
  24 |      [14  5] |      W |      4.0000 |     4.2426 |   -5.0000 |     -0.1 |   -5.1000
  25 |      [14  4] |      W |      3.0000 |     3.6056 |   -6.0000 |     -0.1 |   -6.1000
  26 |      [14  3] |      W |      3.0000 |     3.1623 |   -6.0000 |     -0.1 |   -6.1000
  27 |      [14  2] |      W |      3.0000 |     3.0000 |   -4.0000 |     -0.1 |   -4.1000
  28 |      [14  1] |      W |      3.0000 |     3.1623 |   -2.0000 |     -0.1 |   -2.1000
  29 |      [14  0] |      E |      3.0000 |     3.0000 |   -6.0000 |     -0.1 |   -6.1000
  30 |      [14  1] |      E |      3.0000 |     3.1623 |   -8.0000 |     -0.1 |   -8.1000
  31 |      [14  2] |      E |      3.0000 |     3.6056 |   -8.0000 |     -0.1 |   -8.1000
  32 |      [14  3] |      E |      3.0000 |     4.2426 |   -8.0000 |     -0.1 |   -8.1000
  33 |      [14  4] |      E |      3.0000 |     5.0000 |   -5.0000 |     -0.1 |   -5.1000
  34 |      [14  5] |      W |      4.0000 |     4.2426 |   -9.0000 |     -0.1 |   -9.1000
  35 |      [14  4] |      W |      3.0000 |     3.6056 |  -10.0000 |     -0.1 |  -10.1000
  36 |      [14  3] |      W |      3.0000 |     3.1623 |  -10.0000 |     -0.1 |  -10.1000
  37 |      [14  2] |      W |      3.0000 |     3.0000 |   -8.0000 |     -0.1 |   -8.1000
  38 |      [14  1] |      W |      3.0000 |     3.1623 |   -4.0000 |     -0.1 |   -4.1000
  39 |      [14  0] |      E |      3.0000 |     3.0000 |  -10.0000 |     -0.1 |  -10.1000
  40 |      [14  1] |      E |      3.0000 |     3.1623 |  -12.0000 |     -0.1 |  -12.1000
  41 |      [14  2] |      E |      3.0000 |     3.6056 |  -12.0000 |     -0.1 |  -12.1000
  42 |      [14  3] |      E |      3.0000 |     4.2426 |  -12.0000 |     -0.1 |  -12.1000
  43 |      [14  4] |      E |      3.0000 |     5.0000 |   -7.0000 |     -0.1 |   -7.1000
  44 |      [14  5] |      W |      4.0000 |     4.2426 |  -13.0000 |     -0.1 |  -13.1000
  45 |      [14  4] |      W |      3.0000 |     3.6056 |  -14.0000 |     -0.1 |  -14.1000
  46 |      [14  3] |      W |      3.0000 |     3.1623 |  -14.0000 |     -0.1 |  -14.1000
  47 |      [14  2] |      W |      3.0000 |     3.0000 |  -12.0000 |     -0.1 |  -12.1000
  48 |      [14  1] |      W |      3.0000 |     3.1623 |   -6.0000 |     -0.1 |   -6.1000
  49 |      [14  0] |      E |      3.0000 |     3.0000 |  -14.0000 |     -0.1 |  -14.1000
  50 |      [14  1] |      E |      3.0000 |     3.1623 |  -16.0000 |     -0.1 |  -16.1000
  51 |      [14  2] |      E |      3.0000 |     3.6056 |  -16.0000 |     -0.1 |  -16.1000
  52 |      [14  3] |      E |      3.0000 |     4.2426 |  -16.0000 |     -0.1 |  -16.1000
  53 |      [14  4] |      E |      3.0000 |     5.0000 |   -9.0000 |     -0.1 |   -9.1000
  54 |      [14  5] |      W |      4.0000 |     4.2426 |  -17.0000 |     -0.1 |  -17.1000
  55 |      [14  4] |      W |      3.0000 |     3.6056 |  -18.0000 |     -0.1 |  -18.1000
  56 |      [14  3] |      W |      3.0000 |     3.1623 |  -18.0000 |     -0.1 |  -18.1000
  57 |      [14  2] |      W |      3.0000 |     3.0000 |  -16.0000 |     -0.1 |  -16.1000
  58 |      [14  1] |      W |      3.0000 |     3.1623 |   -8.0000 |     -0.1 |   -8.1000
  59 |      [14  0] |      E |      3.0000 |     3.0000 |  -18.0000 |     -0.1 |  -18.1000
  60 |      [14  1] |      E |      3.0000 |     3.1623 |  -20.0000 |     -0.1 |  -20.1000
  61 |      [14  2] |      E |      3.0000 |     3.6056 |  -20.0000 |     -0.1 |  -20.1000
  62 |      [14  3] |      E |      3.0000 |     4.2426 |  -20.0000 |     -0.1 |  -20.1000
  63 |      [14  4] |      E |      3.0000 |     5.0000 |  -11.0000 |     -0.1 |  -11.1000
  64 |      [14  5] |      W |      4.0000 |     4.2426 |  -21.0000 |     -0.1 |  -21.1000
  65 |      [14  4] |      W |      3.0000 |     3.6056 |  -22.0000 |     -0.1 |  -22.1000
  66 |      [14  3] |      W |      3.0000 |     3.1623 |  -22.0000 |     -0.1 |  -22.1000
  67 |      [14  2] |      W |      3.0000 |     3.0000 |  -20.0000 |     -0.1 |  -20.1000
  68 |      [14  1] |      W |      3.0000 |     3.1623 |  -10.0000 |     -0.1 |  -10.1000
  69 |      [14  0] |      E |      3.0000 |     3.0000 |  -22.0000 |     -0.1 |  -22.1000
  70 |      [14  1] |      E |      3.0000 |     3.1623 |  -24.0000 |     -0.1 |  -24.1000
  71 |      [14  2] |      E |      3.0000 |     3.6056 |  -24.0000 |     -0.1 |  -24.1000
  72 |      [14  3] |      E |      3.0000 |     4.2426 |  -24.0000 |     -0.1 |  -24.1000
  73 |      [14  4] |      E |      3.0000 |     5.0000 |  -13.0000 |     -0.1 |  -13.1000
  74 |      [14  5] |      W |      4.0000 |     4.2426 |  -25.0000 |     -0.1 |  -25.1000
  75 |      [14  4] |      W |      3.0000 |     3.6056 |  -26.0000 |     -0.1 |  -26.1000
  76 |      [14  3] |      W |      3.0000 |     3.1623 |  -26.0000 |     -0.1 |  -26.1000
  77 |      [14  2] |      W |      3.0000 |     3.0000 |  -24.0000 |     -0.1 |  -24.1000
  78 |      [14  1] |      W |      3.0000 |     3.1623 |  -12.0000 |     -0.1 |  -12.1000
  79 |      [14  0] |      E |      3.0000 |     3.0000 |  -26.0000 |     -0.1 |  -26.1000
  80 |      [14  1] |      E |      3.0000 |     3.1623 |  -28.0000 |     -0.1 |  -28.1000
  81 |      [14  2] |      E |      3.0000 |     3.6056 |  -28.0000 |     -0.1 |  -28.1000
  82 |      [14  3] |      E |      3.0000 |     4.2426 |  -28.0000 |     -0.1 |  -28.1000
  83 |      [14  4] |      E |      3.0000 |     5.0000 |  -15.0000 |     -0.1 |  -15.1000
  84 |      [14  5] |      W |      4.0000 |     4.2426 |  -29.0000 |     -0.1 |  -29.1000
  85 |      [14  4] |      W |      3.0000 |     3.6056 |  -30.0000 |     -0.1 |  -30.1000
  86 |      [14  3] |      W |      3.0000 |     3.1623 |  -30.0000 |     -0.1 |  -30.1000
  87 |      [14  2] |      W |      3.0000 |     3.0000 |  -28.0000 |     -0.1 |  -28.1000
  88 |      [14  1] |      W |      3.0000 |     3.1623 |  -14.0000 |     -0.1 |  -14.1000
  89 |      [14  0] |      E |      3.0000 |     3.0000 |  -30.0000 |     -0.1 |  -30.1000
  90 |      [14  1] |      E |      3.0000 |     3.1623 |  -32.0000 |     -0.1 |  -32.1000
  91 |      [14  2] |      E |      3.0000 |     3.6056 |  -32.0000 |     -0.1 |  -32.1000
  92 |      [14  3] |      E |      3.0000 |     4.2426 |  -32.0000 |     -0.1 |  -32.1000
  93 |      [14  4] |      E |      3.0000 |     5.0000 |  -17.0000 |     -0.1 |  -17.1000
  94 |      [14  5] |      W |      4.0000 |     4.2426 |  -33.0000 |     -0.1 |  -33.1000
  95 |      [14  4] |      W |      3.0000 |     3.6056 |  -34.0000 |     -0.1 |  -34.1000
  96 |      [14  3] |      W |      3.0000 |     3.1623 |  -34.0000 |     -0.1 |  -34.1000
  97 |      [14  2] |      W |      3.0000 |     3.0000 |  -32.0000 |     -0.1 |  -32.1000
  98 |      [14  1] |      W |      3.0000 |     3.1623 |  -16.0000 |     -0.1 |  -16.1000
  99 |      [14  0] |      E |      3.0000 |     3.0000 |  -34.0000 |     -0.1 |  -34.1000
 100 |      [14  1] |      E |      3.0000 |     3.1623 |  -36.0000 |     -0.1 |  -36.1000
 101 |      [14  2] |      E |      3.0000 |     3.6056 |  -36.0000 |     -0.1 |  -36.1000
 102 |      [14  3] |      E |      3.0000 |     4.2426 |  -36.0000 |     -0.1 |  -36.1000
 103 |      [14  4] |      E |      3.0000 |     5.0000 |  -19.0000 |     -0.1 |  -19.1000
 104 |      [14  5] |      W |      4.0000 |     4.2426 |  -37.0000 |     -0.1 |  -37.1000
 105 |      [14  4] |      W |      3.0000 |     3.6056 |  -38.0000 |     -0.1 |  -38.1000
 106 |      [14  3] |      W |      3.0000 |     3.1623 |  -38.0000 |     -0.1 |  -38.1000
 107 |      [14  2] |      W |      3.0000 |     3.0000 |  -36.0000 |     -0.1 |  -36.1000
 108 |      [14  1] |      W |      3.0000 |     3.1623 |  -18.0000 |     -0.1 |  -18.1000
 109 |      [14  0] |      E |      3.0000 |     3.0000 |  -38.0000 |     -0.1 |  -38.1000
 110 |      [14  1] |      E |      3.0000 |     3.1623 |  -40.0000 |     -0.1 |  -40.1000
 111 |      [14  2] |      E |      3.0000 |     3.6056 |  -40.0000 |     -0.1 |  -40.1000
 112 |      [14  3] |      E |      3.0000 |     4.2426 |  -40.0000 |     -0.1 |  -40.1000
 113 |      [14  4] |      E |      3.0000 |     5.0000 |  -21.0000 |     -0.1 |  -21.1000
 114 |      [14  5] |      W |      4.0000 |     4.2426 |  -41.0000 |     -0.1 |  -41.1000
 115 |      [14  4] |      W |      3.0000 |     3.6056 |  -42.0000 |     -0.1 |  -42.1000
 116 |      [14  3] |      W |      3.0000 |     3.1623 |  -42.0000 |     -0.1 |  -42.1000
 117 |      [14  2] |      W |      3.0000 |     3.0000 |  -40.0000 |     -0.1 |  -40.1000
 118 |      [14  1] |      W |      3.0000 |     3.1623 |  -20.0000 |     -0.1 |  -20.1000
 119 |      [14  0] |      E |      3.0000 |     3.0000 |  -42.0000 |     -0.1 |  -42.1000
 120 |      [14  1] |      E |      3.0000 |     3.1623 |  -44.0000 |     -0.1 |  -44.1000
 121 |      [14  2] |      E |      3.0000 |     3.6056 |  -44.0000 |     -0.1 |  -44.1000
 122 |      [14  3] |      E |      3.0000 |     4.2426 |  -44.0000 |     -0.1 |  -44.1000
 123 |      [14  4] |      E |      3.0000 |     5.0000 |  -23.0000 |     -0.1 |  -23.1000
 124 |      [14  5] |      W |      4.0000 |     4.2426 |  -45.0000 |     -0.1 |  -45.1000
 125 |      [14  4] |      W |      3.0000 |     3.6056 |  -46.0000 |     -0.1 |  -46.1000
 126 |      [14  3] |      W |      3.0000 |     3.1623 |  -46.0000 |     -0.1 |  -46.1000
 127 |      [14  2] |      W |      3.0000 |     3.0000 |  -44.0000 |     -0.1 |  -44.1000
 128 |      [14  1] |      W |      3.0000 |     3.1623 |  -22.0000 |     -0.1 |  -22.1000
 129 |      [14  0] |      E |      3.0000 |     3.0000 |  -46.0000 |     -0.1 |  -46.1000
 130 |      [14  1] |      E |      3.0000 |     3.1623 |  -48.0000 |     -0.1 |  -48.1000
 131 |      [14  2] |      E |      3.0000 |     3.6056 |  -48.0000 |     -0.1 |  -48.1000
 132 |      [14  3] |      E |      3.0000 |     4.2426 |  -48.0000 |     -0.1 |  -48.1000
 133 |      [14  4] |      E |      3.0000 |     5.0000 |  -25.0000 |     -0.1 |  -25.1000
 134 |      [14  5] |      W |      4.0000 |     4.2426 |  -49.0000 |     -0.1 |  -49.1000
 135 |      [14  4] |      W |      3.0000 |     3.6056 |  -50.0000 |     -0.1 |  -50.1000
 136 |      [14  3] |      W |      3.0000 |     3.1623 |  -50.0000 |     -0.1 |  -50.1000
 137 |      [14  2] |      W |      3.0000 |     3.0000 |  -48.0000 |     -0.1 |  -48.1000
 138 |      [14  1] |      W |      3.0000 |     3.1623 |  -24.0000 |     -0.1 |  -24.1000
 139 |      [14  0] |      E |      3.0000 |     3.0000 |  -50.0000 |     -0.1 |  -50.1000
 140 |      [14  1] |      E |      3.0000 |     3.1623 |  -52.0000 |     -0.1 |  -52.1000
 141 |      [14  2] |      E |      3.0000 |     3.6056 |  -52.0000 |     -0.1 |  -52.1000
 142 |      [14  3] |      E |      3.0000 |     4.2426 |  -52.0000 |     -0.1 |  -52.1000
 143 |      [14  4] |      E |      3.0000 |     5.0000 |  -27.0000 |     -0.1 |  -27.1000
 144 |      [14  5] |      W |      4.0000 |     4.2426 |  -53.0000 |     -0.1 |  -53.1000
 145 |      [14  4] |      W |      3.0000 |     3.6056 |  -54.0000 |     -0.1 |  -54.1000
 146 |      [14  3] |      W |      3.0000 |     3.1623 |  -54.0000 |     -0.1 |  -54.1000
 147 |      [14  2] |      W |      3.0000 |     3.0000 |  -52.0000 |     -0.1 |  -52.1000
 148 |      [14  1] |      W |      3.0000 |     3.1623 |  -26.0000 |     -0.1 |  -26.1000
 149 |      [14  0] |      E |      3.0000 |     3.0000 |  -54.0000 |     -0.1 |  -54.1000
 150 |      [14  1] |      E |      3.0000 |     3.1623 |  -56.0000 |     -0.1 |  -56.1000
 151 |      [14  2] |      E |      3.0000 |     3.6056 |  -56.0000 |     -0.1 |  -56.1000
 152 |      [14  3] |      E |      3.0000 |     4.2426 |  -56.0000 |     -0.1 |  -56.1000
 153 |      [14  4] |      E |      3.0000 |     5.0000 |  -29.0000 |     -0.1 |  -29.1000
