---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
---------------------------------------------------------------------------------------------------------
   1 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
   2 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
   3 |        [9 1] |      E |      2.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
   4 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
   5 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
   6 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
   7 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
   8 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
   9 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  10 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  11 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  12 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  13 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  14 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  15 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  16 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  17 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  18 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  19 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  20 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  21 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  22 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  23 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  24 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  25 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  26 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  27 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  28 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  29 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  30 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  31 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  32 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  33 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  34 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  35 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  36 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  37 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  38 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  39 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  40 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  41 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  42 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  43 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  44 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  45 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  46 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  47 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  48 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  49 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  50 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  51 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  52 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  53 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  54 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  55 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  56 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  57 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  58 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  59 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  60 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
  61 |        [8 1] |     SW |      3.0000 |     2.2361 |   -1.0000 |     -0.1 |   -1.1000
  62 |        [9 0] |      E |      2.0000 |     2.0000 |   -2.0000 |     -0.1 |   -2.1000
  63 |        [9 1] |      E |      2.0000 |     2.2361 |   -3.0000 |     -0.1 |   -3.1000
  64 |        [9 2] |     NW |      3.0000 |     3.0000 |   -2.0000 |     -0.1 |   -2.1000
