---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
---------------------------------------------------------------------------------------------------------
   1 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.5000 |     -0.1 |    1.4000
   2 |        [9 0] |      E |      2.0000 |     2.0000 |    0.5000 |     -0.1 |    0.4000
   3 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
   4 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
   5 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
   6 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
   7 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
   8 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
   9 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  10 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  11 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  12 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  13 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  14 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  15 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  16 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  17 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  18 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  19 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  20 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  21 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  22 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  23 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  24 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  25 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  26 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  27 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  28 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  29 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  30 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  31 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  32 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  33 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  34 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  35 |        [9 0] |      E |      2.0000 |     2.0000 |    0.0000 |     -0.1 |   -0.1000
  36 |        [9 1] |      N |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
