---------------------------------------------------------------------------------------------------------
Goal Position: [11  1]
Step |   Pos (r, c) | Action | Dist Before | Dist After | Dense Rew | Step Pen | Total Rew
---------------------------------------------------------------------------------------------------------
   1 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.5000 |     -0.1 |    1.4000
   2 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
   3 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
   4 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
   5 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
   6 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
   7 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
   8 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
   9 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  10 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  11 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  12 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  13 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  14 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  15 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  16 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  17 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  18 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  19 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  20 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  21 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  22 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  23 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  24 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  25 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  26 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  27 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  28 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  29 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  30 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  31 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  32 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  33 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
  34 |        [9 0] |     NE |      2.0000 |     3.0000 |   -1.0000 |     -0.1 |   -1.1000
  35 |        [8 1] |     SW |      3.0000 |     2.2361 |    1.0000 |     -0.1 |    0.9000
